epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5475.41,0.43928,0.48532,0.80371,0.98372,0.97577,0.99316,0.92293,0.36656,0.3012,0.78559,0.005842,0.005842,0.005842
44,5613.19,0.43281,0.48371,0.80347,0.9723,0.96544,0.98966,0.92166,0.35958,0.31623,0.78474,0.005743,0.005743,0.005743
45,5724.43,0.42916,0.47633,0.80308,0.98426,0.979,0.99344,0.92684,0.35548,0.29143,0.78394,0.005644,0.005644,0.005644
46,5964.97,0.42012,0.46924,0.80099,0.98432,0.97813,0.9936,0.9301,0.34698,0.28785,0.78262,0.005545,0.005545,0.005545
47,6082.71,0.41361,0.46357,0.80072,0.987,0.9807,0.99375,0.93459,0.33666,0.28231,0.78128,0.005446,0.005446,0.005446
48,6176.42,0.40585,0.458,0.8006,0.98609,0.97734,0.99345,0.93342,0.33802,0.28482,0.78166,0.005347,0.005347,0.005347
49,6319.31,0.39804,0.45519,0.79991,0.98646,0.98251,0.99385,0.93564,0.33333,0.27579,0.78101,0.005248,0.005248,0.005248
50,6424.29,0.39367,0.44797,0.79853,0.98618,0.9838,0.99405,0.93903,0.32507,0.27084,0.77989,0.005149,0.005149,0.005149
51,6518.24,0.38617,0.44126,0.79813,0.98803,0.98233,0.99402,0.94067,0.32094,0.26754,0.77932,0.00505,0.00505,0.00505
52,6609.18,0.38185,0.4402,0.79752,0.98723,0.98272,0.994,0.94025,0.32187,0.26569,0.77952,0.004951,0.004951,0.004951
53,6733.27,0.37896,0.43602,0.79661,0.98922,0.98262,0.99412,0.9432,0.31477,0.26009,0.77841,0.004852,0.004852,0.004852
54,6831.44,0.37395,0.42638,0.79698,0.98944,0.98303,0.99418,0.94453,0.31344,0.25732,0.7781,0.004753,0.004753,0.004753
55,6930.64,0.36887,0.42448,0.79653,0.98966,0.98434,0.99425,0.94555,0.31007,0.25241,0.77774,0.004654,0.004654,0.004654
56,7029.43,0.36629,0.42027,0.79605,0.98992,0.98581,0.9944,0.94727,0.30733,0.24871,0.77729,0.004555,0.004555,0.004555
57,7122.44,0.36252,0.41394,0.79473,0.98996,0.98708,0.99442,0.94746,0.30669,0.24578,0.77713,0.004456,0.004456,0.004456
58,7238.22,0.35969,0.40944,0.79516,0.99123,0.98648,0.99455,0.94782,0.306,0.24295,0.77695,0.004357,0.004357,0.004357
59,7330.35,0.35586,0.40424,0.79414,0.99035,0.98744,0.99453,0.94894,0.30384,0.24001,0.7765,0.004258,0.004258,0.004258
60,7426.11,0.35511,0.40339,0.79422,0.99069,0.98646,0.99445,0.94941,0.30234,0.24031,0.77625,0.004159,0.004159,0.004159
61,7529.98,0.3529,0.39891,0.79337,0.9917,0.98678,0.99455,0.95005,0.3011,0.23643,0.77606,0.00406,0.00406,0.00406
62,7624.38,0.35116,0.39806,0.79392,0.99099,0.98796,0.99455,0.9499,0.30162,0.23531,0.77611,0.003961,0.003961,0.003961
63,7719.24,0.34889,0.39202,0.79294,0.99271,0.98808,0.99462,0.95098,0.29986,0.23209,0.77579,0.003862,0.003862,0.003862
64,7874.58,0.34566,0.38937,0.79306,0.99149,0.98795,0.99455,0.95053,0.2995,0.23297,0.77573,0.003763,0.003763,0.003763
65,7986.14,0.34432,0.38619,0.79266,0.99306,0.98814,0.99466,0.95125,0.2987,0.22953,0.77558,0.003664,0.003664,0.003664
66,8080.97,0.34235,0.38286,0.79171,0.992,0.98969,0.99469,0.95175,0.29803,0.22763,0.7755,0.003565,0.003565,0.003565
67,8171.71,0.34087,0.38019,0.7915,0.99286,0.98923,0.99467,0.95147,0.29752,0.22639,0.77535,0.003466,0.003466,0.003466
68,8264.78,0.33886,0.37791,0.79222,0.99279,0.98937,0.99468,0.95175,0.29731,0.22442,0.77531,0.003367,0.003367,0.003367
69,8357.94,0.33651,0.37619,0.79118,0.99336,0.98959,0.99473,0.9521,0.29697,0.22293,0.77523,0.003268,0.003268,0.003268
70,8449.71,0.3362,0.36996,0.79121,0.99344,0.99068,0.99476,0.95243,0.29618,0.22157,0.77503,0.003169,0.003169,0.003169
71,8558.7,0.33341,0.36905,0.79116,0.99306,0.99056,0.99476,0.95269,0.29564,0.22036,0.7749,0.00307,0.00307,0.00307
72,8649.33,0.33452,0.36813,0.79129,0.99324,0.99083,0.99477,0.95273,0.29521,0.2192,0.7748,0.002971,0.002971,0.002971
73,8743.87,0.33269,0.36462,0.79075,0.9936,0.99101,0.99478,0.95301,0.29477,0.21824,0.77472,0.002872,0.002872,0.002872
74,8843.08,0.33063,0.35915,0.79023,0.99346,0.99085,0.99477,0.95329,0.29436,0.21717,0.77464,0.002773,0.002773,0.002773
75,8968.34,0.33124,0.36222,0.79073,0.99386,0.99072,0.99477,0.95306,0.29396,0.21581,0.77457,0.002674,0.002674,0.002674
76,9073.5,0.32845,0.35728,0.78962,0.99367,0.99097,0.99478,0.95325,0.29345,0.21525,0.77446,0.002575,0.002575,0.002575
